Area;Year;Value
Greater Manchester (Met County);1996;42000
Greater Manchester (Met County);1997;45000
Greater Manchester (Met County);1998;46000
Greater Manchester (Met County);1999;47000
Greater Manchester (Met County);2000;49973
Greater Manchester (Met County);2001;52995
Greater Manchester (Met County);2002;59000
Greater Manchester (Met County);2003;70000
Greater Manchester (Met County);2004;88500
Greater Manchester (Met County);2005;105000
Greater Manchester (Met County);2006;119000
Greater Manchester (Met County);2007;127000
Greater Manchester (Met County);2008;126750
Greater Manchester (Met County);2009;115000
Greater Manchester (Met County);2010;117500
Greater Manchester (Met County);2011;120000
