"Area","Year","Value","","","","","","","","","","","","","","","","","","",""
"ENGLAND","1996","54500","","","","","","","","","","","","","","","","","","",""
"ENGLAND","1997","59000","","","","","","","","","","","","","","","","","","",""
"ENGLAND","1998","63000","","","","","","","","","","","","","","","","","","",""
"ENGLAND","1999","67750","","","","","","","","","","","","","","","","","","",""
"ENGLAND","2000","78000","","","","","","","","","","","","","","","","","","",""
"ENGLAND","2001","85000","","","","","","","","","","","","","","","","","","",""
"ENGLAND","2002","97000","","","","","","","","","","","","","","","","","","",""
"ENGLAND","2003","123500","","","","","","","","","","","","","","","","","","",""
"ENGLAND","2004","141000","","","","","","","","","","","","","","","","","","",""
"ENGLAND","2005","155000","","","","","","","","","","","","","","","","","","",""
"ENGLAND","2006","160000","","","","","","","","","","","","","","","","","","",""
"ENGLAND","2007","170000","","","","","","","","","","","","","","","","","","",""
"ENGLAND","2008","175000","","","","","","","","","","","","","","","","","","",""
"ENGLAND","2009","159000","","","","","","","","","","","","","","","","","","",""
"ENGLAND","2010","185000","","","","","","","","","","","","","","","","","","",""
"ENGLAND","2011","175000","","","","","","","","","","","","","","","","","","",""
"NORTH EAST","1996","41850","","","","","","","","","","","","","","","","","","",""
"NORTH EAST","1997","45000","","","","","","","","","","","","","","","","","","",""
"NORTH EAST","1998","46000","","","","","","","","","","","","","","","","","","",""
"NORTH EAST","1999","47000","","","","","","","","","","","","","","","","","","",""
"NORTH EAST","2000","49995","","","","","","","","","","","","","","","","","","",""
"NORTH EAST","2001","49000","","","","","","","","","","","","","","","","","","",""
"NORTH EAST","2002","55000","","","","","","","","","","","","","","","","","","",""
"NORTH EAST","2003","63500","","","","","","","","","","","","","","","","","","",""
"NORTH EAST","2004","83450","","","","","","","","","","","","","","","","","","",""
"NORTH EAST","2005","95000","","","","","","","","","","","","","","","","","","",""
"NORTH EAST","2006","111000","","","","","","","","","","","","","","","","","","",""
"NORTH EAST","2007","119000","","","","","","","","","","","","","","","","","","",""
"NORTH EAST","2008","119000","","","","","","","","","","","","","","","","","","",""
"NORTH EAST","2009","110000","","","","","","","","","","","","","","","","","","",""
"NORTH EAST","2010","115000","","","","","","","","","","","","","","","","","","",""
"NORTH EAST","2011","115000","","","","","","","","","","","","","","","","","","",""
"Middlesbrough UA","1996","43875","","","","","","","","","","","","","","","","","","",""
"Middlesbrough UA","1997","44000","","","","","","","","","","","","","","","","","","",""
"Middlesbrough UA","1998","43850","","","","","","","","","","","","","","","","","","",""
"Middlesbrough UA","1999","44500","","","","","","","","","","","","","","","","","","",""
"Middlesbrough UA","2000","44550","","","","","","","","","","","","","","","","","","",""
"Middlesbrough UA","2001","42075","","","","","","","","","","","","","","","","","","",""
"Middlesbrough UA","2002","45000","","","","","","","","","","","","","","","","","","",""
"Middlesbrough UA","2003","40000","","","","","","","","","","","","","","","","","","",""
"Middlesbrough UA","2004","50000","","","","","","","","","","","","","","","","","","",""
"Middlesbrough UA","2005","70000","","","","","","","","","","","","","","","","","","",""
"Middlesbrough UA","2006","97000","","","","","","","","","","","","","","","","","","",""
"Middlesbrough UA","2007","105000","","","","","","","","","","","","","","","","","","",""
"Middlesbrough UA","2008","99725","","","","","","","","","","","","","","","","","","",""
"Middlesbrough UA","2009","108000","","","","","","","","","","","","","","","","","","",""
"Middlesbrough UA","2010","89350","","","","","","","","","","","","","","","","","","",""
"Middlesbrough UA","2011","99695","","","","","","","","","","","","","","","","","","",""
"SOUTH WEST","1996","54500","","","","","","","","","","","","","","","","","","",""
"SOUTH WEST","1997","58001","","","","","","","","","","","","","","","","","","",""
"SOUTH WEST","1998","63500","","","","","","","","","","","","","","","","","","",""
"SOUTH WEST","1999","67500","","","","","","","","","","","","","","","","","","",""
"SOUTH WEST","2000","79000","","","","","","","","","","","","","","","","","","",""
"SOUTH WEST","2001","87950","","","","","","","","","","","","","","","","","","",""
"SOUTH WEST","2002","105500","","","","","","","","","","","","","","","","","","",""
"SOUTH WEST","2003","135000","","","","","","","","","","","","","","","","","","",""
"SOUTH WEST","2004","152500","","","","","","","","","","","","","","","","","","",""
"SOUTH WEST","2005","168000","","","","","","","","","","","","","","","","","","",""
"SOUTH WEST","2006","169500","","","","","","","","","","","","","","","","","","",""
"SOUTH WEST","2007","184000","","","","","","","","","","","","","","","","","","",""
"SOUTH WEST","2008","188000","","","","","","","","","","","","","","","","","","",""
"SOUTH WEST","2009","167500","","","","","","","","","","","","","","","","","","",""
"SOUTH WEST","2010","190000","","","","","","","","","","","","","","","","","","",""
"SOUTH WEST","2011","180500","","","","","","","","","","","","","","","","","","",""
"SOUTH EAST","1996","64000","","","","","","","","","","","","","","","","","","",""
"SOUTH EAST","1997","69950","","","","","","","","","","","","","","","","","","",""
"SOUTH EAST","1998","78000","","","","","","","","","","","","","","","","","","",""
"SOUTH EAST","1999","84250","","","","","","","","","","","","","","","","","","",""
"SOUTH EAST","2000","100000","","","","","","","","","","","","","","","","","","",""
"SOUTH EAST","2001","116000","","","","","","","","","","","","","","","","","","",""
"SOUTH EAST","2002","131000","","","","","","","","","","","","","","","","","","",""
"SOUTH EAST","2003","159950","","","","","","","","","","","","","","","","","","",""
"SOUTH EAST","2004","174000","","","","","","","","","","","","","","","","","","",""
"SOUTH EAST","2005","187000","","","","","","","","","","","","","","","","","","",""
"SOUTH EAST","2006","190491","","","","","","","","","","","","","","","","","","",""
"SOUTH EAST","2007","207000","","","","","","","","","","","","","","","","","","",""
"SOUTH EAST","2008","217000","","","","","","","","","","","","","","","","","","",""
"SOUTH EAST","2009","188000","","","","","","","","","","","","","","","","","","",""
"SOUTH EAST","2010","227500","","","","","","","","","","","","","","","","","","",""
"SOUTH EAST","2011","217000","","","","","","","","","","","","","","","","","","",""
"NORTH WEST","1996","44500","","","","","","","","","","","","","","","","","","",""
"NORTH WEST","1997","47000","","","","","","","","","","","","","","","","","","",""
"NORTH WEST","1998","48500","","","","","","","","","","","","","","","","","","",""
"NORTH WEST","1999","49950","","","","","","","","","","","","","","","","","","",""
"NORTH WEST","2000","54000","","","","","","","","","","","","","","","","","","",""
"NORTH WEST","2001","56500","","","","","","","","","","","","","","","","","","",""
"NORTH WEST","2002","61500","","","","","","","","","","","","","","","","","","",""
"NORTH WEST","2003","74000","","","","","","","","","","","","","","","","","","",""
"NORTH WEST","2004","92000","","","","","","","","","","","","","","","","","","",""
"NORTH WEST","2005","110000","","","","","","","","","","","","","","","","","","",""
"NORTH WEST","2006","119950","","","","","","","","","","","","","","","","","","",""
"NORTH WEST","2007","128500","","","","","","","","","","","","","","","","","","",""
"NORTH WEST","2008","129500","","","","","","","","","","","","","","","","","","",""
"NORTH WEST","2009","120000","","","","","","","","","","","","","","","","","","",""
"NORTH WEST","2010","123000","","","","","","","","","","","","","","","","","","",""
"NORTH WEST","2011","124645","","","","","","","","","","","","","","","","","","",""
"Greater Manchester (Met County)","1996","42000","","","","","","","","","","","","","","","","","","",""
"Greater Manchester (Met County)","1997","45000","","","","","","","","","","","","","","","","","","",""
"Greater Manchester (Met County)","1998","46000","","","","","","","","","","","","","","","","","","",""
"Greater Manchester (Met County)","1999","47000","","","","","","","","","","","","","","","","","","",""
"Greater Manchester (Met County)","2000","49973","","","","","","","","","","","","","","","","","","",""
